Mw,Liq,Crit. Depth,Depthto,Svo,Esvo,Amax,rd,VS1,CSR,DWF,CSR*,Pl,CRR
7.7,Yes,4.75,2.4,77.08,54.03,0.36,0.89,172,0.3,0.969216292,0.310,2.383356007,0.09237179
7.7,NO,9.85,6,155.24,117.47,0.32,0.68,172.1,0.19,0.969216292,0.196,0.544625086,0.145161376
7.1,Yes,8,1,143.5,74.83,0.5,0.64,142.3,0.4,1.080693539,0.370,4.733427871,0.038551436
7.1,Yes,6,0.7,112.83,61.23,0.5,0.92,201.9,0.55,1.080693539,0.509,2.167954307,0.188371968
7.1,Yes,8,0.7,144.67,73.45,0.5,0.84,169.4,0.53,1.080693539,0.490,4.4154389,0.059773962
7.1,Yes,6,1.3,105.15,59.05,0.5,0.94,197.4,0.55,1.080693539,0.509,2.544318246,0.156397792
7.1,Yes,4,1,69.5,40.07,0.5,0.9,135.4,0.51,1.080693539,0.472,6.004334101,0.026227304
7.1,Yes,9.5,1,171.25,87.87,0.5,0.55,153.4,0.35,1.080693539,0.324,3.654684524,0.057490806
7.1,Yes,6.5,0.5,118,59.14,0.5,0.6,134,0.39,1.080693539,0.361,4.984547838,0.033200365
7.1,Yes,7,0.5,127.25,63.49,0.5,0.67,161.5,0.44,1.080693539,0.407,4.131375314,0.057103463
7.1,Yes,4.25,1,74.13,42.25,0.5,1,222.6,0.57,1.080693539,0.527,0.366951473,0.475455159
7.1,NO,1.25,1,18.63,16.18,0.5,1,312.5,0.37,1.080693539,0.342,-14.25212143,424.0205167
7.1,Yes,1.1,0.5,18.1,12.22,0.5,1,186.4,0.48,1.080693539,0.444,2.819542359,0.119133237
7.5,NO,6.25,5,93.14,80.88,0.16,0.84,167.1,0.1,1.004058561,0.100,-1.891227189,0.254652283
7.5,Yes,4.85,1.2,84.33,48.52,0.16,0.89,122.2,0.16,1.004058561,0.159,2.118192299,0.056163591
7.5,Yes,3.6,1.2,61.2,37.66,0.16,0.93,145.1,0.16,1.004058561,0.159,1.179911797,0.089300651
7.5,Yes,7.5,2.5,127.45,78.43,0.18,0.64,135,0.12,1.004058561,0.120,0.477934852,0.094753144
7.5,Yes,8.5,2,148.26,84.49,0.18,0.69,141.6,0.14,1.004058561,0.139,0.817710794,0.093456237
7.5,Yes,10.5,1.5,196.62,108.33,0.18,0.59,135.3,0.12,1.004058561,0.120,0.472133977,0.095025195
7.5,Yes,3.9,3,58.66,49.83,0.18,0.89,145.8,0.12,1.004058561,0.120,-0.011610069,0.120690565
7.5,NO,7.5,2,129.76,75.8,0.18,0.74,163.1,0.15,1.004058561,0.149,-0.013755516,0.151023263
7.5,NO,7.5,2.7,126.61,79.52,0.18,0.71,170.6,0.13,1.004058561,0.129,-1.046798173,0.218090213
7.9,Yes,6,1,106.5,57.45,0.21,0.83,139,0.21,0.936430828,0.224,2.848672505,0.051375763
