"depth","N1_60","fines_content","depth_water","sigma","sigma_prime","a_t","CSR","Vs","phi","magnitude","a_max","liqified"
1,6,90,0.77,16.3,14,0.14,0.29,105,28.48,7.4,0.4,"No"
1.8,8,94,0.77,30.9,20.6,0.08,0.37,105,29.17,7.4,0.4,"No"
2.6,7,100,0.77,45.6,27.3,0.04,0.41,85,26.96,7.4,0.4,"No"
3.4,5,87,0.77,60.3,34,0.03,0.43,85,29.68,7.4,0.4,"No"
4.2,5,74,0.77,75.8,41.5,0.02,0.44,85,26.93,7.4,0.4,"Yes"
5,3,92,0.77,90.1,47.8,0.02,0.45,85,28.39,7.4,0.4,"No"
6,3,97,0.77,108.2,55.9,0.15,0.45,250,26,7.4,0.4,"No"
7,19,70,0.77,127.9,65.6,0.13,0.45,250,33.42,7.4,0.4,"Yes"
8,26,58,0.77,147.5,75.2,0.11,0.44,250,35.1,7.4,0.4,"No"
9,48,5,0.77,167.3,85,0.1,0.44,250,42.72,7.4,0.4,"No"
1,3,74,0.78,18,15.8,0.14,0.29,105,26,7.4,0.4,"Yes"
1.8,5,86,0.78,32.8,22.6,0.08,0.36,105,26.93,7.4,0.4,"Yes"
3.4,2,85,0.78,62.4,36.2,0.03,0.42,85,29.14,7.4,0.4,"No"
4.2,10,93,0.78,77.4,43.2,0.02,0.43,85,29.17,7.4,0.4,"Yes"
6,4,99,0.78,109.5,57.3,0.15,0.45,250,29.97,7.4,0.4,"No"
7,11,85,0.78,128.3,66.1,0.13,0.44,250,30.95,7.4,0.4,"Yes"
8.5,39,8,0.78,156.2,79,0.11,0.44,250,40.78,7.4,0.4,"No"
10,25,6,0.78,186.6,94.4,0.09,0.43,250,37.32,7.4,0.4,"No"
1.8,7,99,0.71,30.3,19.4,0.09,0.39,111,27.34,7.4,0.4,"No"
2.8,4,99,0.71,48.8,27.9,0.07,0.43,121,27.34,7.4,0.4,"No"
3.7,6,79,0.71,66,36.1,0.05,0.44,118,27.75,7.4,0.4,"Yes"
5.6,5,96,0.71,99.9,51,0.03,0.46,105,26.93,7.4,0.4,"Yes"
6.5,17,88,0.71,117,59.1,0.07,0.46,173,32.96,7.4,0.4,"Yes"
8.5,49,9,0.71,157.1,79.2,0.05,0.44,173,42.45,7.4,0.4,"No"
4.1,7,97,0.82,74.1,41.3,0.02,0.43,85,28.49,7.4,0.4,"Yes"
5,3,98,0.82,90.5,48.7,0.17,0.44,250,29.97,7.4,0.4,"No"
6.6,18,92,0.82,120,62.2,0.13,0.45,250,32.99,7.4,0.4,"No"
8,32,66,0.82,147.9,76.1,0.11,0.44,250,38.65,7.4,0.4,"No"
9.5,75,8,0.82,179.3,92.5,0.1,0.43,250,44.8,7.4,0.4,"No"
11,33,10,0.82,211.1,109.3,0.35,0.41,500,46.35,7.4,0.4,"No"
12.5,33,7,0.82,243.2,126.4,0.31,0.4,500,40.49,7.4,0.4,"No"
15,10,100,0.82,289.7,147.9,0.27,0.39,500,25.37,7.4,0.4,"No"
1.6,3,96,3.1,25.3,25.1,0.11,0.25,115,24.9,7.4,0.4,"No"
2.6,3,82,3.1,43,42.7,0.07,0.25,115,26,7.4,0.4,"No"
3.5,10,21,3.1,58.6,54.6,0.13,0.26,185,29.8,7.4,0.4,"Yes"
4.2,12,14,3.1,72.3,61.3,0.11,0.28,185,30.39,7.4,0.4,"Yes"
5,31,29,3.1,89.3,70.3,0.09,0.3,185,37.66,7.4,0.4,"No"
6.2,33,5,3.1,116.4,85.4,0.08,0.32,185,38.65,7.4,0.4,"No"
8,31,5,3.1,155.2,106.2,0.29,0.33,400,39.59,7.4,0.4,"No"
10.5,8,100,3.1,202.3,128.3,0.23,0.34,400,26.11,7.4,0.4,"No"
12.4,12,100,3.1,238.1,145.1,0.2,0.34,400,26.11,7.4,0.4,"No"
13.7,9,36,3.1,263.3,157.3,0.19,0.34,400,30.95,7.4,0.4,"Yes"
16,9,100,3.1,306.1,177.1,0.17,0.34,400,27.15,7.4,0.4,"No"
