"magnitude","accelaration","status","depth","water_depth","total_stress","effective_stress","test_value","CSR","type"
7.7,0.36,"Yes",4.75,2.4,77.08,54.03,172,0.3,"SWV"
7.7,0.32,"NO",9.85,6,155.24,117.47,172.1,0.19,"SWV"
7.1,0.5,"Yes",8,1,143.5,74.83,142.3,0.4,"SWV"
7.1,0.5,"Yes",6,0.7,112.83,61.23,201.9,0.55,"SWV"
7.1,0.5,"Yes",8,0.7,144.67,73.45,169.4,0.53,"SWV"
7.1,0.5,"Yes",6,1.3,105.15,59.05,197.4,0.55,"SWV"
7.1,0.5,"Yes",4,1,69.5,40.07,135.4,0.51,"SWV"
7.1,0.5,"Yes",9.5,1,171.25,87.87,153.4,0.35,"SWV"
7.1,0.5,"Yes",6.5,0.5,118,59.14,134,0.39,"SWV"
7.1,0.5,"Yes",7,0.5,127.25,63.49,161.5,0.44,"SWV"
7.1,0.5,"Yes",4.25,1,74.13,42.25,222.6,0.57,"SWV"
7.1,0.5,"NO",1.25,1,18.63,16.18,312.5,0.37,"SWV"
7.1,0.5,"Yes",1.1,0.5,18.1,12.22,186.4,0.48,"SWV"
7.5,0.16,"NO",6.25,5,93.14,80.88,167.1,0.1,"SWV"
7.5,0.16,"Yes",4.85,1.2,84.33,48.52,122.2,0.16,"SWV"
7.5,0.16,"Yes",3.6,1.2,61.2,37.66,145.1,0.16,"SWV"
7.5,0.18,"Yes",7.5,2.5,127.45,78.43,135,0.12,"SWV"
7.5,0.18,"Yes",8.5,2,148.26,84.49,141.6,0.14,"SWV"
7.5,0.18,"Yes",10.5,1.5,196.62,108.33,135.3,0.12,"SWV"
7.5,0.18,"Yes",3.9,3,58.66,49.83,145.8,0.12,"SWV"
7.5,0.18,"NO",7.5,2,129.76,75.8,163.1,0.15,"SWV"
7.5,0.18,"NO",7.5,2.7,126.61,79.52,170.6,0.13,"SWV"
7.9,0.21,"Yes",6,1,106.5,57.45,139,0.21,"SWV"
7.9,0.23,"Yes",4.05,1,70.43,40.51,131.9,0.23,"SWV"
7.9,0.2,"Yes",2.75,0.8,47.28,28.15,148.5,0.21,"SWV"
7.9,0.15,"Yes",6.5,1,115.75,61.8,109.9,0.08,"SWV"
7.4,0.2,"Yes",3,1,51,31.38,116.9,0.2,"SWV"
7.4,0.2,"Yes",4.3,1.4,73.25,44.81,144.4,0.2,"SWV"
7.4,0.24,"Yes",9,2.7,162.85,101.05,171.3,0.2,"SWV"
7.4,0.28,"Yes",4.6,2,76.11,50.6,140.9,0.25,"SWV"
7.4,0.28,"NO",4.55,2,75.18,50.17,172.2,0.21,"SWV"
7.4,0.2,"Yes",7.5,2.6,127.06,78.99,160.4,0.16,"SWV"
7.4,0.32,"Yes",5.5,0.5,99.5,50.45,171.8,0.36,"SWV"
7.4,0.24,"Yes",7.5,2.7,133.9,86.82,110.2,0.15,"SWV"
7.4,0.2,"Yes",5.25,2.5,85.88,58.9,165.2,0.16,"SWV"
7.4,0.24,"Yes",4.5,0.5,80.54,41.54,143.1,0.26,"SWV"
7.4,0.24,"Yes",5.75,0.5,104.13,52.62,165.1,0.25,"SWV"
7.1,0.12,"Yes",8.75,1.5,155.13,84.01,133,0.1,"SWV"
7.1,0.12,"Yes",7.25,1.5,127.38,70.97,101.3,0.11,"SWV"
7.1,0.12,"Yes",4.5,0.5,81,41.76,107,0.14,"SWV"
7.1,0.12,"Yes",1.9,0.5,32.9,19.17,101.9,0.13,"SWV"
7.1,0.12,"NO",10.25,1,185.13,94.39,122.5,0.1,"SWV"
7.1,0.12,"Yes",4,1,69.5,40.07,152.1,0.12,"SWV"
8,0.4,"NO",5,3,79.01,59.39,229.9,0.34,"SWV"
8,0.45,"Yes",6.55,3,107.22,72.64,175.6,0.38,"SWV"
8,0.45,"Yes",7.5,3.7,122.11,84.83,195.5,0.38,"SWV"
8,0.4,"Yes",6,1,90,40.95,172.7,0.45,"SWV"
8,0.4,"Yes",2.15,1.1,28.1,17.31,201.7,0.42,"SWV"
